@relation 'cjlt123.txt-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-79,81-100,103,107-124,126-127,129-220,222-223,225-270'

@attribute att_80 numeric
@attribute att_101 numeric
@attribute att_102 numeric
@attribute att_104 numeric
@attribute att_105 numeric
@attribute att_106 numeric
@attribute att_125 numeric
@attribute att_128 numeric
@attribute att_221 numeric
@attribute att_224 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}

@data
{0 -0.286671,1 0.186228,2 -0.48821,3 0.043331,4 -0.928319,5 -0.888567,6 -0.469042,7 0.42559,8 -0.240172,9 -0.266069,10 2}
{0 -0.287298,1 0.186157,2 -0.531743,3 0.014612,4 -0.927707,5 -0.781224,6 -0.500635,7 0.462185,8 -0.212695,9 -0.241685,10 2}
{0 -0.320795,1 0.233589,2 -0.453742,3 0.111219,4 -0.92287,5 -0.79174,6 -0.430303,7 0.376768,8 -0.245387,9 -0.270519,10 2}
{0 -0.276615,1 0.16576,2 -0.485893,3 0.025563,4 -0.9284,5 -0.78517,6 -0.421551,7 0.392104,8 -0.335419,9 -0.351884,10 2}
{0 -0.312814,1 0.213598,2 -0.493387,3 0.066711,4 -0.923384,5 -0.796187,6 -0.43636,7 0.410122,8 -0.244823,9 -0.277322,10 2}
{0 0.390653,1 0.007877,2 -0.083394,3 0.159446,4 -0.935052,5 -0.720547,6 -0.104397,7 -0.185926,8 -0.292229,9 -0.289763,10 3}
{0 0.349174,1 -0.049712,2 -0.014865,3 0.169467,4 -0.938457,5 -0.551764,6 -0.223383,7 -0.146439,8 -0.274019,9 -0.279711,10 3}
{0 0.401214,1 -0.11053,2 -0.258229,3 -0.012546,4 -0.941497,5 -0.424402,6 -0.357193,7 0.036758,8 -0.226293,9 -0.270956,10 3}
{0 0.343087,1 -0.113221,2 -0.185829,3 0.034661,4 -0.942938,5 -0.473978,6 -0.385046,7 0.086763,8 -0.175701,9 -0.199826,10 3}
{0 0.39856,1 -0.15456,2 -0.250783,3 -0.025355,4 -0.945746,5 -0.659346,6 -0.374621,7 0.048895,8 -0.23495,9 -0.276784,10 3}
{0 0.30751,1 -0.129022,2 -0.134847,3 0.061184,4 -0.945567,5 -0.427693,6 -0.338453,7 0.000378,8 -0.316975,9 -0.329435,10 3}
{0 0.240323,1 -0.065419,2 -0.220594,3 0.03436,4 -0.935516,5 -0.699097,6 -0.437139,7 0.151058,8 -0.175136,9 -0.231617,10 3}
{0 0.276827,1 -0.222554,2 -0.343864,3 -0.113792,4 -0.951397,5 -0.481609,6 -0.479773,7 0.251829,8 -0.195764,9 -0.245071,10 3}
{0 0.333665,1 -0.341526,2 -0.488222,3 -0.246884,4 -0.960881,5 -0.748984,6 -0.503114,7 0.301882,8 -0.218417,9 -0.261166,10 3}
{0 0.267487,1 -0.186839,2 -0.34194,3 -0.101873,4 -0.948268,5 -0.408079,6 -0.498713,7 0.259133,8 -0.172617,9 -0.227276,10 3}
{0 0.289828,1 -0.130716,2 -0.223583,3 0.002281,4 -0.944752,5 -0.280121,6 -0.416791,7 0.1301,8 -0.201263,9 -0.254066,10 3}
{0 0.313065,1 -0.128205,2 -0.226223,3 0.001685,4 -0.942979,5 -0.588857,6 -0.388042,7 0.073412,8 -0.262858,9 -0.312418,10 3}
{0 0.302117,1 -0.132085,2 -0.25102,3 -0.016673,4 -0.942187,5 -0.458037,6 -0.420632,7 0.141548,8 -0.1937,9 -0.250029,10 3}
{0 0.160695,1 -0.022795,2 -0.078899,3 0.145462,4 -0.93142,5 -0.551478,6 -0.402558,7 0.117788,8 -0.14991,9 -0.190369,10 3}
{0 0.326371,1 -0.117833,2 -0.236629,3 -0.001019,4 -0.941977,5 -0.346675,6 -0.398842,7 0.097943,8 -0.208904,9 -0.261854,10 3}
{0 0.217482,1 -0.08607,2 -0.171144,3 0.0565,4 -0.937485,5 -0.698156,6 -0.425685,7 0.152768,8 -0.171088,9 -0.220527,10 3}
{0 0.267792,1 -0.170512,2 -0.189587,3 0.010748,4 -0.947344,5 -0.651882,6 -0.442587,7 0.170316,8 -0.156249,9 -0.204638,10 3}
{0 0.381283,1 -0.356135,2 -0.459941,3 -0.222822,4 -0.962026,5 -0.455986,6 -0.468568,7 0.247549,8 -0.228767,9 -0.262241,10 3}
{0 0.415759,1 -0.300708,2 -0.506036,3 -0.259921,4 -0.957583,5 -0.914833,6 -0.476061,7 0.223778,8 -0.23939,9 -0.301742,10 3}
{0 0.372202,1 -0.345582,2 -0.233118,3 -0.049838,4 -0.961254,5 -0.647244,6 -0.410862,7 0.11254,8 -0.193,9 -0.253945,10 3}
{0 0.261361,1 -0.414809,2 -0.360054,3 -0.13845,4 -0.964736,5 -0.794434,6 -0.493198,7 0.302952,8 -0.143969,9 -0.209946,10 3}
{0 0.362013,1 -0.279113,2 -0.463679,3 -0.220712,4 -0.955971,5 -0.650606,6 -0.500328,7 0.256518,8 -0.205438,9 -0.270143,10 3}
{0 0.356203,1 -0.324658,2 -0.519201,3 -0.273452,4 -0.959401,5 -0.521479,6 -0.511403,7 0.271878,8 -0.24254,9 -0.316874,10 3}
