@relation 'cjlt123.txt-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-79,81-100,103,107-124,126-127,129-220,222-223,225-270'

@attribute att_80 numeric
@attribute att_101 numeric
@attribute att_102 numeric
@attribute att_104 numeric
@attribute att_105 numeric
@attribute att_106 numeric
@attribute att_125 numeric
@attribute att_128 numeric
@attribute att_221 numeric
@attribute att_224 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}

@data
{0 -0.265367,1 0.449331,2 -0.890397,3 0.094256,4 -0.912954,5 -1,6 0.761876,7 -0.035558,8 -0.993234,9 -0.96886,10 8}
{0 -0.232892,1 0.456329,2 -0.91831,3 0.086451,4 -0.911832,5 -1,6 0.751922,7 -0.030218,8 -0.964908,9 -0.945393,10 8}
{0 -0.236957,1 0.560854,2 -0.859073,3 0.26535,4 -0.894104,5 -1,6 0.633242,7 -0.143683,8 -0.761118,9 -0.749625,10 8}
{0 -0.309506,1 0.47521,2 -0.826543,3 0.167939,4 -0.904963,5 -1,6 0.403479,7 0.142341,8 -0.598238,9 -0.57525,10 8}
{0 -0.294545,1 0.449131,2 -0.859085,3 0.11332,4 -0.91734,5 -1,6 0.511866,7 0.111785,8 -0.761405,9 -0.7185,10 8}
{0 -0.256494,1 0.41684,2 -0.873049,3 0.061066,4 -0.912277,5 -1,6 0.597952,7 0.084285,8 -0.86943,9 -0.829391,10 8}
{0 -0.246292,1 0.507477,2 -0.897469,3 0.170037,4 -0.908681,5 -1,6 0.622708,7 -0.051435,8 -0.841875,9 -0.824886,10 8}
{0 -0.178203,1 0.338268,2 -0.91441,3 -0.073663,4 -0.919106,5 -0.888042,6 0.487014,7 0.206915,8 -0.791688,9 -0.775062,10 8}
{0 -0.25194,1 0.476072,2 -0.90547,3 0.121773,4 -0.912282,5 -1,6 0.610121,7 -0.012266,8 -0.874017,9 -0.86621,10 8}
{0 -0.178208,1 0.483533,2 -0.933433,3 0.115071,4 -0.912318,5 -1,6 0.656853,7 -0.086539,8 -0.923819,9 -0.921959,10 8}
{0 -0.19582,1 0.470629,2 -0.899717,3 0.117751,4 -0.91497,5 -1,6 0.651405,7 -0.075534,8 -0.919189,9 -0.917705,10 8}
{0 -0.217163,1 0.532682,2 -0.870602,3 0.220279,4 -0.901786,5 -1,6 0.494735,7 -0.086852,8 -0.737723,9 -0.747202,10 8}
{0 -0.13663,1 0.489788,2 -0.90641,3 0.140224,4 -0.908561,5 -1,6 0.637528,7 -0.111387,8 -0.862703,9 -0.866215,10 8}
{0 -0.132026,1 0.428567,2 -0.86875,3 0.079636,4 -0.910627,5 -1,6 0.631901,7 -0.027547,8 -0.859497,9 -0.854715,10 8}
{0 -0.110814,1 0.410665,2 -0.90139,3 0.034306,4 -0.910702,5 -1,6 0.619667,7 0.002653,8 -0.868348,9 -0.869792,10 8}
{0 -0.166074,1 0.492946,2 -0.859699,3 0.172255,4 -0.913219,5 -1,6 0.512564,7 -0.133749,8 -0.884888,9 -0.862997,10 8}
{0 -0.154182,1 0.484031,2 -0.890895,3 0.14156,4 -0.91421,5 -1,6 0.593735,7 -0.082305,8 -0.855709,9 -0.839355,10 8}
{0 -0.133315,1 0.479057,2 -0.911175,3 0.122446,4 -0.909238,5 -1,6 0.691108,7 -0.127868,8 -0.924755,9 -0.921601,10 8}
{0 -0.188702,1 0.548786,2 -0.839749,3 0.259481,4 -0.898365,5 -1,6 0.525586,7 -0.115531,8 -0.691416,9 -0.679094,10 8}
{0 -0.174194,1 0.450698,2 -0.920521,3 0.077242,4 -0.90895,5 -1,6 0.497684,7 0.055547,8 -0.776456,9 -0.76979,10 8}
{0 -0.181655,1 0.444008,2 -0.937622,3 0.05699,4 -0.90916,5 -1,6 0.336532,7 0.154137,8 -0.65558,9 -0.648926,10 8}
{0 -0.142582,1 0.455869,2 -0.896637,3 0.099374,4 -0.907217,5 -1,6 0.591548,7 -0.048709,8 -0.847025,9 -0.860125,10 8}
{0 -0.030739,1 0.344656,2 -0.933072,3 -0.078404,4 -0.919912,5 -1,6 0.689064,7 0.028368,8 -0.931777,9 -0.937815,10 8}
{0 -0.183265,1 0.489541,2 -0.875623,3 0.158286,4 -0.904948,5 -1,6 0.568112,7 -0.073348,8 -0.827746,9 -0.821634,10 8}
{0 -0.141556,1 0.412772,2 -0.941036,3 0.010935,4 -0.916054,5 -1,6 0.745599,7 -0.010401,8 -0.960295,9 -0.965332,10 8}
{0 -0.08834,1 0.42107,2 -0.888684,3 0.056717,4 -0.91778,5 -1,6 0.669296,7 -0.067235,8 -0.93026,9 -0.912234,10 8}
{0 0.092409,1 0.687539,2 -0.856467,3 0.441345,4 -0.896989,5 -1,6 0.304479,7 -0.671925,8 -0.530223,9 -0.532876,10 9}
{0 0.02913,1 0.709341,2 -0.884377,3 0.458243,4 -0.894716,5 -1,6 0.37179,7 -0.748856,8 -0.589375,9 -0.610259,10 9}
{0 0.048749,1 0.666886,2 -0.862737,3 0.409604,4 -0.900912,5 -1,6 0.477418,7 -0.697155,8 -0.678514,9 -0.672655,10 9}
{0 0.037156,1 0.664818,2 -0.859255,3 0.408474,4 -0.899572,5 -1,6 0.461975,7 -0.643916,8 -0.64252,9 -0.654613,10 9}
{0 0.074416,1 0.694881,2 -0.892423,3 0.434088,4 -0.889301,5 -1,6 0.32795,7 -0.719382,8 -0.569779,9 -0.598917,10 9}
{0 0.148804,1 0.632979,2 -0.868548,3 0.35969,4 -0.897548,5 -1,6 0.436037,7 -0.668379,8 -0.63713,9 -0.648425,10 9}
{0 0.067203,1 0.687444,2 -0.914102,3 0.41292,4 -0.899986,5 -1,6 0.47521,7 -0.805315,8 -0.681471,9 -0.701197,10 9}
{0 0.094989,1 0.666219,2 -0.855399,3 0.412348,4 -0.895092,5 -1,6 0.507254,7 -0.739365,8 -0.653659,9 -0.636228,10 9}
{0 0.026056,1 0.641671,2 -0.88629,3 0.362658,4 -0.9027,5 -1,6 0.476712,7 -0.549686,8 -0.691812,9 -0.702716,10 9}
{0 0.117709,1 0.643007,2 -0.87996,3 0.367749,4 -0.90348,5 -1,6 0.43377,7 -0.697448,8 -0.674159,9 -0.68676,10 9}
{0 0.145575,1 0.654682,2 -0.872384,3 0.387838,4 -0.90106,5 -1,6 0.374452,7 -0.774751,8 -0.631707,9 -0.649464,10 9}
{0 0.100089,1 0.662243,2 -0.866651,3 0.401216,4 -0.900605,5 -1,6 0.406109,7 -0.70237,8 -0.624763,9 -0.634712,10 9}
{0 0.056021,1 0.658186,2 -0.875977,3 0.390912,4 -0.899686,5 -1,6 0.49106,7 -0.746416,8 -0.717729,9 -0.73595,10 9}
{0 0.06375,1 0.667022,2 -0.862802,3 0.409792,4 -0.894453,5 -1,6 0.49876,7 -0.720339,8 -0.650889,9 -0.668415,10 9}
{0 0.124579,1 0.606332,2 -0.865121,3 0.324564,4 -0.907828,5 -1,6 0.541591,7 -0.644929,8 -0.727749,9 -0.741444,10 9}
{0 0.142357,1 0.623138,2 -0.85118,3 0.355038,4 -0.895664,5 -1,6 0.479039,7 -0.706036,8 -0.669496,9 -0.690145,10 9}
{0 -0.015951,1 0.698911,2 -0.891335,3 0.440249,4 -0.895979,5 -1,6 0.454323,7 -0.706235,8 -0.660916,9 -0.679163,10 9}
{0 0.00478,1 0.667377,2 -0.863509,3 0.409907,4 -0.899709,5 -1,6 0.552003,7 -0.645487,8 -0.688699,9 -0.688993,10 9}
{0 -0.036839,1 0.664984,2 -0.877252,3 0.399717,4 -0.904244,5 -1,6 0.572866,7 -0.61909,8 -0.729325,9 -0.740494,10 9}
{0 0.032384,1 0.632546,2 -0.885448,3 0.350346,4 -0.906924,5 -1,6 0.496087,7 -0.53582,8 -0.708603,9 -0.711984,10 9}
{0 0.02766,1 0.653536,2 -0.885015,3 0.379877,4 -0.899103,5 -1,6 0.538368,7 -0.628848,8 -0.710796,9 -0.721123,10 9}
{0 -0.010937,1 0.659998,2 -0.900622,3 0.38105,4 -0.892295,5 -1,6 0.600872,7 -0.612937,8 -0.732025,9 -0.750837,10 9}
{0 -0.008385,1 0.60442,2 -0.876042,3 0.316197,4 -0.903533,5 -1,6 0.681433,7 -0.486087,8 -0.795178,9 -0.792166,10 9}
{0 -0.087571,1 0.672402,2 -0.906312,3 0.395623,4 -0.890855,5 -1,6 0.618944,7 -0.575591,8 -0.755403,9 -0.771967,10 9}
{0 0.047241,1 0.618666,2 -0.870316,3 0.338926,4 -0.903227,5 -1,6 0.608701,7 -0.588832,8 -0.75359,9 -0.762403,10 9}
{0 -0.231527,1 0.48027,2 -0.904717,3 0.128087,4 -0.902942,5 -1,6 0.917854,7 -0.096396,8 -0.990739,9 -0.962524,10 10}
{0 -0.391089,1 0.723591,2 -0.845227,3 0.49669,4 -0.898771,5 -1,6 0.65218,7 -0.360077,8 -0.676635,9 -0.606594,10 10}
{0 -0.120704,1 0.509903,2 -0.828665,3 0.213138,4 -0.904567,5 -1,6 0.600367,7 -0.126934,8 -0.759395,9 -0.724484,10 10}
{0 -0.17115,1 0.568403,2 -0.839353,3 0.286301,4 -0.906515,5 -1,6 0.612272,7 -0.145352,8 -0.691577,9 -0.646012,10 10}
{0 -0.220487,1 0.531656,2 -0.82595,3 0.243868,4 -0.909986,5 -1,6 0.712776,7 -0.120116,8 -0.772181,9 -0.74785,10 10}
{0 -0.181983,1 0.510102,2 -0.834901,3 0.209804,4 -0.91075,5 -1,6 0.741228,7 -0.119242,8 -0.82444,9 -0.781293,10 10}
{0 -0.426797,1 0.498554,2 -0.845831,3 0.187947,4 -0.911187,5 -1,6 0.723651,7 0.023203,8 -0.844853,9 -0.822134,10 10}
{0 -0.349269,1 0.577104,2 -0.88101,3 0.275639,4 -0.914545,5 -1,6 0.610837,7 -0.077027,8 -0.781416,9 -0.730523,10 10}
{0 -0.368171,1 0.513601,2 -0.881844,3 0.187563,4 -0.914027,5 -1,6 0.699328,7 0.046803,8 -0.789928,9 -0.740406,10 10}
{0 -0.436589,1 0.580091,2 -0.80083,3 0.322631,4 -0.904743,5 -1,6 0.637412,7 -0.051378,8 -0.732613,9 -0.657571,10 10}
{0 -0.490096,1 0.4842,2 -0.826266,3 0.180035,4 -0.911797,5 -1,6 0.705755,7 0.100728,8 -0.79829,9 -0.755756,10 10}
{0 -0.424151,1 0.454488,2 -0.82274,3 0.142579,4 -0.913104,5 -1,6 0.842399,7 0.08782,8 -0.849496,9 -0.805403,10 10}
{0 -0.56535,1 0.425507,2 -0.780812,3 0.129898,4 -0.917752,5 -1,6 0.857496,7 0.158898,8 -0.875007,9 -0.802668,10 10}
{0 -0.438457,1 0.457848,2 -0.780657,3 0.171979,4 -0.91104,5 -1,6 0.741503,7 0.094192,8 -0.819894,9 -0.746894,10 10}
{0 -0.518571,1 0.561502,2 -0.809649,3 0.29295,4 -0.906403,5 -1,6 0.576551,7 0.052141,8 -0.693291,9 -0.619766,10 10}
{0 -0.093096,1 0.420923,2 -0.77639,3 0.126673,4 -0.91801,5 -1,6 0.670475,7 0.016758,8 -0.712119,9 -0.657584,10 10}
{0 -0.11049,1 0.500059,2 -0.850349,3 0.187334,4 -0.914526,5 -1,6 0.635496,7 -0.070594,8 -0.747495,9 -0.687337,10 10}
{0 -0.277448,1 0.486325,2 -0.84812,3 0.170083,4 -0.913839,5 -1,6 0.633472,7 0.07906,8 -0.702273,9 -0.648766,10 10}
{0 -0.219394,1 0.4428,2 -0.827234,3 0.124331,4 -0.917005,5 -1,6 0.732194,7 0.039577,8 -0.796034,9 -0.749367,10 10}
{0 -0.290142,1 0.423912,2 -0.706577,3 0.172226,4 -0.911377,5 -0.893539,6 0.76681,7 0.043767,8 -0.758714,9 -0.712054,10 10}
{0 -0.272189,1 0.311673,2 -0.714249,3 0.030211,4 -0.92303,5 -0.881365,6 0.866683,7 0.15554,8 -0.853392,9 -0.776793,10 10}
{0 -0.288578,1 0.417137,2 -0.776167,3 0.121883,4 -0.921538,5 -1,6 0.808175,7 0.074413,8 -0.831899,9 -0.759322,10 10}
{0 -0.298064,1 0.342448,2 -0.768263,3 0.032282,4 -0.922437,5 -1,6 0.784107,7 0.180305,8 -0.812129,9 -0.751549,10 10}
{0 -0.24644,1 0.410081,2 -0.770016,3 0.116667,4 -0.917965,5 -1,6 0.767594,7 0.037688,8 -0.835774,9 -0.791899,10 10}
{0 -0.232003,1 0.361929,2 -0.754803,3 0.065391,4 -0.917238,5 -1,6 0.845445,7 0.086134,8 -0.850914,9 -0.795941,10 10}
{0 -0.70691,1 0.67547,2 -0.910173,3 0.397988,4 -0.898331,5 -1,6 0.440862,7 -0.106342,8 -0.703584,9 -0.724895,10 11}
{0 -0.711946,1 0.608743,2 -0.897709,3 0.310776,4 -0.895809,5 -1,6 0.268866,7 0.103011,8 -0.59408,9 -0.604484,10 11}
{0 -0.836532,1 0.557455,2 -0.904234,3 0.235625,4 -0.899848,5 -1,6 0.35199,7 0.191896,8 -0.669954,9 -0.660545,10 11}
{0 -0.822883,1 0.411625,2 -0.938188,3 0.011242,4 -0.914367,5 -1,6 0.158228,7 0.434406,8 -0.584638,9 -0.611578,10 11}
{0 -0.928271,1 0.564108,2 -0.936146,3 0.227063,4 -0.896234,5 -1,6 0.295867,7 0.226327,8 -0.621758,9 -0.643905,10 11}
{0 -0.808675,1 0.615048,2 -0.962313,3 0.285114,4 -0.896767,5 -1,6 0.24474,7 0.149081,8 -0.591998,9 -0.621786,10 11}
{0 -0.933454,1 0.458533,2 -0.930465,3 0.081862,4 -0.916122,5 -1,6 0.415429,7 0.343801,8 -0.721906,9 -0.703905,10 11}
{0 -0.86506,1 0.612563,2 -0.935726,3 0.295876,4 -0.896934,5 -1,6 0.403546,7 0.126246,8 -0.648485,9 -0.656726,10 11}
{0 -0.885609,1 0.538577,2 -0.881744,3 0.222115,4 -0.894729,5 -1,6 0.270041,7 0.23499,8 -0.598201,9 -0.626449,10 11}
{0 -0.687037,1 0.433121,2 -0.956662,3 0.029258,4 -0.906495,5 -1,6 0.264501,7 0.376181,8 -0.63324,9 -0.642927,10 11}
{0 -0.916368,1 0.498773,2 -0.895287,3 0.159294,4 -0.908483,5 -1,6 0.533225,7 0.204418,8 -0.823651,9 -0.817621,10 11}
{0 -0.785519,1 0.649565,2 -0.884242,3 0.374736,4 -0.897621,5 -1,6 0.510841,7 -0.085785,8 -0.767252,9 -0.783823,10 11}
{0 -0.771109,1 0.577179,2 -0.922281,3 0.253199,4 -0.905455,5 -1,6 0.579631,7 0.045215,8 -0.852551,9 -0.848805,10 11}
{0 -0.659947,1 0.517176,2 -0.927934,3 0.16564,4 -0.905584,5 -1,6 0.304394,7 0.236256,8 -0.672214,9 -0.646216,10 11}
{0 -0.471974,1 0.438631,2 -0.976313,3 0.024045,4 -0.936775,5 -1,6 0.43304,7 0.275207,8 -0.723924,9 -0.724596,10 11}
{0 -0.673758,1 0.616354,2 -0.902391,3 0.31894,4 -0.89668,5 -1,6 0.417692,7 -0.005956,8 -0.724411,9 -0.741415,10 11}
{0 -0.602234,1 0.583764,2 -0.908578,3 0.270022,4 -0.887024,5 -1,6 0.220435,7 0.140399,8 -0.551845,9 -0.573673,10 11}
{0 -0.682461,1 0.591324,2 -0.908189,3 0.280773,4 -0.901887,5 -1,6 0.443157,7 0.05607,8 -0.732749,9 -0.731441,10 11}
{0 -0.627379,1 0.497738,2 -0.848824,3 0.185201,4 -0.897801,5 -1,6 0.152577,7 0.274103,8 -0.504716,9 -0.522415,10 11}
{0 -0.570647,1 0.57996,2 -0.905461,3 0.266362,4 -0.900998,5 -1,6 0.290197,7 0.095203,8 -0.626043,9 -0.638308,10 11}
{0 -0.584483,1 0.60565,2 -0.889528,3 0.31079,4 -0.898776,5 -1,6 0.379668,7 0.032881,8 -0.64859,9 -0.651294,10 11}
{0 -0.657947,1 0.570999,2 -0.932311,3 0.238925,4 -0.904502,5 -1,6 0.546987,7 0.036182,8 -0.834717,9 -0.84091,10 11}
{0 -0.564018,1 0.574056,2 -0.90922,3 0.256045,4 -0.899518,5 -1,6 0.437946,7 0.032555,8 -0.753623,9 -0.757281,10 11}
{0 -0.581377,1 0.574684,2 -0.926127,3 0.247572,4 -0.901608,5 -1,6 0.374784,7 0.093925,8 -0.689436,9 -0.685917,10 11}
{0 -0.594686,1 0.619006,2 -0.937736,3 0.303943,4 -0.894267,5 -1,6 0.421642,7 -0.003836,8 -0.704353,9 -0.728831,10 11}
{0 -0.530764,1 0.479563,2 -0.820711,3 0.176872,4 -0.926892,5 -1,6 0.753916,7 0.011995,8 -0.941748,9 -0.935712,10 12}
{0 -0.547369,1 0.590384,2 -0.84402,3 0.313766,4 -0.909265,5 -1,6 0.469487,7 -0.017927,8 -0.698832,9 -0.700733,10 12}
{0 -0.433852,1 0.499447,2 -0.849863,3 0.186644,4 -0.925574,5 -1,6 0.627265,7 0.015519,8 -0.854013,9 -0.842286,10 12}
{0 -0.332032,1 0.439782,2 -0.876952,3 0.08954,4 -0.923317,5 -1,6 0.542504,7 0.091626,8 -0.826764,9 -0.829137,10 12}
{0 -0.220877,1 0.34907,2 -0.964299,3 -0.095108,4 -0.92951,5 -1,6 0.464451,7 0.228233,8 -0.818432,9 -0.810843,10 12}
{0 -0.392223,1 0.450662,2 -0.898233,3 0.091042,4 -0.928557,5 -1,6 0.591318,7 0.16099,8 -0.793722,9 -0.754472,10 12}
{0 -0.261123,1 0.459604,2 -0.792104,3 0.167462,4 -0.917228,5 -1,6 0.653527,7 -0.002757,8 -0.863244,9 -0.769295,10 12}
{0 -0.299233,1 0.469678,2 -0.867013,3 0.136239,4 -0.921636,5 -1,6 0.690824,7 -0.005298,8 -0.862571,9 -0.868917,10 12}
{0 -0.178595,1 0.4851,2 -0.83849,3 0.174045,4 -0.917037,5 -1,6 0.718634,7 -0.108775,8 -0.841128,9 -0.836504,10 12}
{0 -0.279395,1 0.425117,2 -0.83907,3 0.093561,4 -0.919113,5 -1,6 0.822119,7 0.007411,8 -0.919506,9 -0.914879,10 12}
{0 -0.1323,1 0.342344,2 -0.868685,3 -0.035892,4 -0.930615,5 -1,6 0.763944,7 0.096209,8 -0.864975,9 -0.862227,10 12}
{0 -0.238129,1 0.405241,2 -0.832975,3 0.071103,4 -0.919547,5 -1,6 0.73079,7 0.041807,8 -0.873357,9 -0.864349,10 12}
{0 -0.275351,1 0.297976,2 -0.812665,3 -0.053836,4 -0.927929,5 -1,6 0.833512,7 0.150485,8 -0.938887,9 -0.935685,10 12}
{0 -0.373805,1 0.302133,2 -0.826769,3 -0.058574,4 -0.927338,5 -1,6 0.950955,7 0.182787,8 -0.978024,9 -0.969018,10 12}
{0 -0.417284,1 0.349023,2 -0.775486,3 0.035775,4 -0.922468,5 -1,6 0.849245,7 0.120819,8 -0.939585,9 -0.947748,10 12}
{0 -0.392671,1 0.446741,2 -0.786947,3 0.153765,4 -0.914948,5 -1,6 0.730319,7 0.005459,8 -0.894028,9 -0.894024,10 12}
{0 -0.377642,1 0.302589,2 -0.839658,3 -0.067173,4 -0.925812,5 -1,6 0.827574,7 0.238033,8 -0.892672,9 -0.882275,10 12}
{0 -0.478112,1 0.249671,2 -0.922905,3 -0.200537,4 -0.929567,5 -1,6 0.822091,7 0.38479,8 -0.880805,9 -0.871242,10 12}
{0 -0.341808,1 0.215429,2 -0.923335,3 -0.247009,4 -0.936105,5 -0.846157,6 0.776044,7 0.379426,8 -0.851028,9 -0.844575,10 12}
{0 -0.395299,1 0.358479,2 -0.922962,3 -0.052139,4 -0.92704,5 -1,6 0.642446,7 0.303398,8 -0.74319,9 -0.744866,10 12}
{0 -0.364067,1 0.433764,2 -0.824359,3 0.114077,4 -0.92135,5 -1,6 0.852949,7 0.048811,8 -0.898557,9 -0.879765,10 12}
{0 -0.229288,1 0.320759,2 -0.891081,3 -0.080644,4 -0.935437,5 -1,6 0.671831,7 0.237512,8 -0.782621,9 -0.777959,10 12}
{0 -0.473421,1 0.323029,2 -0.867717,3 -0.060702,4 -0.92915,5 -1,6 0.87008,7 0.240962,8 -0.941906,9 -0.938046,10 12}
{0 -0.518685,1 0.29323,2 -0.838304,3 -0.0782,4 -0.925953,5 -1,6 0.841316,7 0.313024,8 -0.873309,9 -0.856343,10 12}
{0 0.114017,1 0.616301,2 -0.930478,3 0.303968,4 -0.898912,5 -1,6 0.186537,7 -0.291707,8 -0.463329,9 -0.482204,10 13}
{0 0.191438,1 0.638328,2 -0.93206,3 0.334346,4 -0.888652,5 -1,6 0.303151,7 -0.564878,8 -0.539935,9 -0.57803,10 13}
{0 0.237515,1 0.606789,2 -0.935188,3 0.287996,4 -0.892081,5 -1,6 0.390381,7 -0.615941,8 -0.622231,9 -0.655728,10 13}
{0 0.115872,1 0.641899,2 -0.898749,3 0.356631,4 -0.890676,5 -1,6 0.488822,7 -0.703138,8 -0.688822,9 -0.717631,10 13}
{0 0.205048,1 0.578632,2 -0.92027,3 0.256381,4 -0.896535,5 -1,6 0.56415,7 -0.663147,8 -0.76527,9 -0.798996,10 13}
{0 0.045394,1 0.627839,2 -0.876359,3 0.34854,4 -0.897601,5 -1,6 0.498062,7 -0.501056,8 -0.644568,9 -0.671727,10 13}
{0 0.201841,1 0.592679,2 -0.895085,3 0.289743,4 -0.900986,5 -1,6 0.479678,7 -0.637672,8 -0.688413,9 -0.71419,10 13}
{0 0.125652,1 0.636579,2 -0.877759,3 0.35994,4 -0.901864,5 -1,6 0.414978,7 -0.662281,8 -0.65356,9 -0.672555,10 13}
{0 0.118711,1 0.604623,2 -0.933872,3 0.285618,4 -0.900769,5 -1,6 0.318642,7 -0.351394,8 -0.553077,9 -0.578973,10 13}
{0 0.143154,1 0.634308,2 -0.935168,3 0.327013,4 -0.89207,5 -1,6 0.265869,7 -0.473602,8 -0.548459,9 -0.578779,10 13}
{0 0.163552,1 0.633408,2 -0.947534,3 0.319226,4 -0.893551,5 -1,6 0.287714,7 -0.442785,8 -0.521618,9 -0.542706,10 13}
{0 -0.031877,1 0.726385,2 -0.936138,3 0.457411,4 -0.894883,5 -1,6 0.281981,7 -0.633266,8 -0.583342,9 -0.609261,10 13}
{0 -0.079462,1 0.755134,2 -0.936889,3 0.498045,4 -0.886411,5 -1,6 0.319446,7 -0.690967,8 -0.560755,9 -0.598881,10 13}
{0 -0.173503,1 0.722844,2 -0.92302,3 0.458724,4 -0.877777,5 -1,6 0.445695,7 -0.538331,8 -0.659904,9 -0.67865,10 13}
{0 -0.089706,1 0.735458,2 -0.944137,3 0.466539,4 -0.877731,5 -1,6 0.327138,7 -0.58035,8 -0.573641,9 -0.610152,10 13}
{0 -0.116073,1 0.718128,2 -0.944361,3 0.441676,4 -0.884306,5 -1,6 0.513558,7 -0.563382,8 -0.662619,9 -0.683023,10 13}
{0 -0.135123,1 0.675908,2 -0.90907,3 0.399168,4 -0.89505,5 -1,6 0.634208,7 -0.512096,8 -0.76833,9 -0.760429,10 13}
{0 -0.166501,1 0.717079,2 -0.925399,3 0.449373,4 -0.88992,5 -1,6 0.573556,7 -0.559844,8 -0.687999,9 -0.71165,10 13}
{0 -0.174951,1 0.73976,2 -0.942337,3 0.473532,4 -0.88557,5 -1,6 0.434324,7 -0.540724,8 -0.608159,9 -0.646367,10 13}
{0 -0.050589,1 0.725911,2 -0.914545,3 0.467109,4 -0.89181,5 -1,6 0.43734,7 -0.718877,8 -0.637884,9 -0.659857,10 13}
{0 -0.114598,1 0.720268,2 -0.929526,3 0.451924,4 -0.881373,5 -1,6 0.515067,7 -0.664343,8 -0.701947,9 -0.729571,10 13}
{0 -0.094964,1 0.720599,2 -0.938767,3 0.447913,4 -0.886597,5 -1,6 0.462243,7 -0.653494,8 -0.686962,9 -0.711909,10 13}
{0 -0.060354,1 0.726324,2 -0.937023,3 0.456916,4 -0.885265,5 -1,6 0.429534,7 -0.696302,8 -0.656764,9 -0.681365,10 13}
{0 -0.072594,1 0.738181,2 -0.924391,3 0.479828,4 -0.88317,5 -1,6 0.462376,7 -0.714799,8 -0.630763,9 -0.649992,10 13}
{0 -0.055564,1 0.660474,2 -0.915532,3 0.374152,4 -0.895467,5 -1,6 0.532593,7 -0.463423,8 -0.688237,9 -0.692591,10 13}
{0 0.431081,1 0.321086,2 -0.428573,3 0.214798,4 -0.923062,5 -0.638695,6 -0.222882,7 -0.164014,8 -0.12965,9 -0.107345,10 14}
{0 0.427138,1 0.341014,2 -0.510809,3 0.189144,4 -0.918141,5 -0.780222,6 -0.261307,7 -0.137762,8 -0.126673,9 -0.127971,10 14}
{0 0.575451,1 0.226959,2 -0.559453,3 0.037395,4 -0.925964,5 -0.664139,6 -0.236435,7 -0.180635,8 -0.220326,9 -0.226518,10 14}
{0 0.487864,1 0.283481,2 -0.539516,3 0.109682,4 -0.919018,5 -0.588857,6 -0.250738,7 -0.157684,8 -0.181114,9 -0.20727,10 14}
{0 0.47689,1 0.2852,2 -0.483446,3 0.145472,4 -0.921462,5 -0.781224,6 -0.263738,7 -0.140244,8 -0.138152,9 -0.139603,10 14}
{0 0.652926,1 0.165577,2 -0.530347,3 -0.00464,4 -0.933599,5 -0.744965,6 -0.113091,7 -0.394252,8 -0.402507,9 -0.401889,10 14}
{0 0.634499,1 0.165541,2 -0.608981,3 -0.059254,4 -0.932712,5 -0.629336,6 -0.186566,7 -0.300704,8 -0.388389,9 -0.42323,10 14}
{0 0.628739,1 0.173343,2 -0.597469,3 -0.04304,4 -0.927312,5 -0.788974,6 -0.222237,7 -0.223063,8 -0.281701,9 -0.320895,10 14}
{0 0.480855,1 0.306298,2 -0.54136,3 0.133246,4 -0.915409,5 -0.607469,6 -0.246104,7 -0.177197,8 -0.152837,9 -0.199735,10 14}
{0 0.581249,1 0.227607,2 -0.562423,3 0.03611,4 -0.926256,5 -0.773974,6 -0.20899,7 -0.249016,8 -0.26472,9 -0.298476,10 14}
{0 0.593102,1 0.029547,2 -0.701933,3 -0.263676,4 -0.939977,5 0.094979,6 -0.394909,7 0.10036,8 -0.208807,9 -0.245456,10 14}
{0 0.655226,1 0.165375,2 -0.608254,3 -0.058812,4 -0.930795,5 -0.536967,6 -0.196085,7 -0.24951,8 -0.28505,9 -0.332751,10 14}
{0 0.545815,1 0.127087,2 -0.777716,3 -0.230285,4 -0.932528,5 -0.886445,6 -0.405609,7 0.141425,8 -0.164013,9 -0.21201,10 14}
{0 0.682117,1 0.056094,2 -0.719774,3 -0.254154,4 -0.934977,5 -0.577947,6 -0.29759,7 -0.080762,8 -0.309693,9 -0.352234,10 14}
{0 0.70554,1 0.143552,2 -0.661339,3 -0.119618,4 -0.925289,5 -0.906118,6 -0.175556,7 -0.325207,8 -0.391215,9 -0.42252,10 14}
{0 0.705823,1 0.092047,2 -0.698424,3 -0.20106,4 -0.937322,5 -0.74766,6 -0.289411,7 -0.107668,8 -0.235488,9 -0.280697,10 14}
{0 0.649021,1 0.14933,2 -0.672479,3 -0.122323,4 -0.931464,5 -0.770707,6 -0.261925,7 -0.157236,8 -0.28343,9 -0.327669,10 14}
{0 0.69508,1 0.100186,2 -0.760065,3 -0.244377,4 -0.933904,5 -0.775035,6 -0.269966,7 -0.122049,8 -0.326543,9 -0.372731,10 14}
{0 0.725947,1 0.084116,2 -0.670251,3 -0.18578,4 -0.936136,5 -0.88195,6 -0.215312,7 -0.2702,8 -0.380032,9 -0.421925,10 14}
{0 0.702868,1 0.094349,2 -0.648776,3 -0.158855,4 -0.935155,5 -0.767357,6 -0.216955,7 -0.265163,8 -0.366666,9 -0.418097,10 14}
{0 0.716536,1 0.081379,2 -0.689452,3 -0.204111,4 -0.936791,5 -0.879565,6 -0.298701,7 -0.124032,8 -0.215654,9 -0.287933,10 14}
